Subviewer,BeforeStateMinX,BeforeStateMinY,BeforeStateWidth,BeforeStateHeight,AfterStateMinX,AfterStateMinY,AfterStateWidth,AfterStateHeight,BeforeCenterOffsetFraction,AfterCenterOffsetFraction,BeforeZoomFactor,AfterZoomFactor,BeforeDisplaySpanPixels,AfterDisplaySpanPixels,BeforeMeanRouteLengthRatio,AfterMeanRouteLengthRatio,BeforeMaximumRouteDeviation,AfterMaximumRouteDeviation
EnergyRegion,80,100,1140,440,843.5,799,1140,440,0.382403804582793,0.0111982082866741,0.356401384083045,0.538579766536965,427.681660899654,646.295719844358,1.06352295463171,1.06014477153505,402.734795491783,402.734795491783
HealthRegion,80,100,760,450,901,515,760,450,0.358712472918601,0.03884246363355,0.372335616,0.637262406343246,349.99547904,541.673045391759,1.00609870574186,1.00609870574186,60,60
MissionRegion,147,226,3170,560,1071,1495.5,2785,370,0.422969675845242,0.0168067226890756,0.228177177048314,0.237210142491779,739.294053636537,681.979159663866,1.03433310183927,1.00006473724953,271.367788140634,60
NavigationRegion,80,165,1340,520,1471,1516,1340,520,0.43243661100804,0.015460729746444,0.3,0.399049526058357,411.12,570.640822263451,1.09919029715825,1.09919029715825,95,95
SafetyRegion,80,100,740,450,1187,508.5,740,450,0.383344571813891,0.039237142410505,1.25,0.517375462514559,1000,420.108875561822,1.03981334460153,1.04158599121834,120.754832607441,121.997457684437
